date,priceUsd
2016-08-17,574.4955211966745
2016-08-18,573.4121574591508
2016-08-19,573.5504907278245
2016-08-20,577.102792920318
2016-08-21,580.788669837848
2016-08-22,582.5907268656475
2016-08-23,583.9576115382176
2016-08-24,580.3252606228812
2016-08-25,574.8881088638683
2016-08-26,577.5991570520248
2016-08-27,573.4192542435392
2016-08-28,571.9034985593718
2016-08-29,574.8405458578493
2016-08-30,576.5853170088908
2016-08-31,574.1452975451972
2016-09-01,573.0677558255346
2016-09-02,573.3657523546085
2016-09-03,580.1571054532936
2016-09-04,605.0055036030788
2016-09-05,606.0897100278744
2016-09-06,608.3579984635682
2016-09-07,612.1746939468469
2016-09-08,622.6780615676493
2016-09-09,622.8559621353497
2016-09-10,623.8276978336546
2016-09-11,620.5681512896217
2016-09-12,607.5155344822812
2016-09-13,608.8395431613783
2016-09-14,610.2131707890559
2016-09-15,609.0709289542737
2016-09-16,608.1360629426124
2016-09-17,607.3399456711867
2016-09-18,608.9007346769082
2016-09-19,609.882934085695
2016-09-20,608.8858659228058
2016-09-21,597.7827377072058
2016-09-22,597.1003893272875
2016-09-23,599.2461748340546
2016-09-24,603.3806473515447
2016-09-25,601.7804319565748
2016-09-26,604.7122362868428
2016-09-27,605.630651524704
2016-09-28,604.5672912854515
2016-09-29,604.7798653986829
2016-09-30,605.1674279749031
2016-10-01,612.4516126109373
2016-10-02,611.4345612389063
2016-10-03,611.3976727938898
2016-10-04,609.81258047564
2016-10-05,610.8813540388783
2016-10-06,611.4682852880295
2016-10-07,614.6506582305744
2016-10-08,618.0963847387703
2016-10-09,616.9089919520392
2016-10-10,617.0332236113172
2016-10-11,632.4799222685792
2016-10-12,638.1164348244788
2016-10-13,636.1954223443416
2016-10-14,637.097680499108
2016-10-15,639.0509214786031
2016-10-16,640.2277846646934
2016-10-17,639.0045526165944
2016-10-18,636.8231160863497
2016-10-19,632.3593236319213
2016-10-20,628.9691441149345
2016-10-21,630.9117908576364
2016-10-22,641.8470815474914
2016-10-23,653.8777342257997
2016-10-24,650.7550277336471
2016-10-25,655.0227933448464
2016-10-26,665.3205655108156
2016-10-27,682.5819232166093
2016-10-28,685.870695563358
2016-10-29,706.1455318027593
2016-10-30,704.5772835133718
2016-10-31,698.1368115897153
2016-11-01,720.9233542233054
2016-11-02,725.1731305871824
2016-11-03,724.1470689072614
2016-11-04,699.3002622772535
2016-11-05,703.085029680914
2016-11-06,709.6431525838763
2016-11-07,704.5319228399889
2016-11-08,706.004262662118
2016-11-09,725.0653330896048
2016-11-10,713.7573224187877
2016-11-11,714.3270787902842
2016-11-12,708.2898211583032
2016-11-13,696.0594820200266
2016-11-14,701.9462262569525
2016-11-15,710.2453098460517
2016-11-16,722.2161275195243
2016-11-17,742.489275905653
2016-11-18,742.2287006732349
2016-11-19,747.4577773468707
2016-11-20,740.5338341168466
2016-11-21,734.4593534191773
2016-11-22,740.9446190829004
2016-11-23,741.6356671858597
2016-11-24,738.0695888274169
2016-11-25,734.8148071585739
2016-11-26,734.3807403969064
2016-11-27,731.8263285405737
2016-11-28,731.3205088805983
2016-11-29,731.8877301545765
2016-11-30,737.4384057568526
2016-12-01,747.8679932221719
2016-12-02,767.5956709905221
2016-12-03,764.2237281516482
2016-12-04,764.0467944258442
2016-12-05,754.5886041199658
2016-12-06,755.7908719738044
2016-12-07,760.540479009564
2016-12-08,766.5891153578879
2016-12-09,768.4779324874654
2016-12-10,772.1920862975069
2016-12-11,767.2139766423156
2016-12-12,774.1831417730258
2016-12-13,777.7503482416676
2016-12-14,776.3822276737632
2016-12-15,776.7544329730312
2016-12-16,778.726691600392
2016-12-17,786.6860842407026
2016-12-18,787.6106678114857
2016-12-19,789.6894427994223
2016-12-20,790.0087530174717
2016-12-21,811.9064739529573
2016-12-22,853.8693119383332
2016-12-23,895.9254246955151
2016-12-24,897.8995148026276
2016-12-25,872.1482398280104
2016-12-26,897.5019057983569
2016-12-27,914.102433548955
2016-12-28,951.6939971789517
2016-12-29,967.982384754956
2016-12-30,951.748777309164
2016-12-31,952.7482537836877
2017-01-01,974.2800513976152
2017-01-02,1011.1228986770356
2017-01-03,1017.213358639858
2017-01-04,1076.4506845850697
2017-01-05,1048.4278934642316
2017-01-06,930.0936498661276
2017-01-07,868.2682157991159
2017-01-08,912.451423379023
2017-01-09,891.1958162852518
2017-01-10,899.8388732322544
2017-01-11,846.3265359051812
2017-01-12,784.2369849552844
2017-01-13,806.6320551612157
2017-01-14,825.5048352839515
2017-01-15,817.0032430284692
2017-01-16,826.5656389214489
2017-01-17,874.7453475300346
2017-01-18,883.7257482229819
2017-01-19,892.2061908333624
2017-01-20,893.5339270744519
2017-01-21,916.6608514073646
2017-01-22,922.2238643905198
2017-01-23,918.5351257601811
2017-01-24,906.32225849046
2017-01-25,893.712865908748
2017-01-26,904.5935604807158
2017-01-27,915.1545148632672
2017-01-28,918.9326884611552
2017-01-29,918.1889270460318
2017-01-30,917.099729311178
2017-01-31,939.2458352320874
2017-02-01,969.77781822318
2017-02-02,989.564454792414
2017-02-03,1008.2949563925768
2017-02-04,1013.078201053397
2017-02-05,1015.6030117035818
2017-02-06,1017.2886935442036
2017-02-07,1038.5431147940517
